Kanji,Hiragana,English,Origin,Difficulty
個,こ,Counter for round objects,Duolingo 2.1,1
冊,さつ,Counter for books,Duolingo 2.1,1
一,いち,One,Duolingo 2.1,1
二,に,Two,Duolingo 2.1,1
三,さん,Three,Duolingo 2.1,1
四,よん,Four,Duolingo 2.1,1
五,ご,Five,Duolingo 2.1,1
六,ろく,Six,Duolingo 2.1,1
七,なな,Seven,Duolingo 2.1,1
八,はち,Eight,Duolingo 2.1,1
九,きゅう,Nine,Duolingo 2.1,1
十,じゅう,Ten,Duolingo 2.1,1
百,きゃく,Hundred,Duolingo 2.1,1
千,せん,Thousand,Duolingo 2.1,1
万,まん,Ten thousand,Duolingo 2.1,1
円,えん,Yen ,Duolingo 2.1,1
一人,ひとり,One person,Duolingo 2.1,1
子,こ,Young (thing),Duolingo 2.1,1
申し,もうし,To be called (name),Duolingo 2.1,1
外国人,がいこくじん,Foreigner,Duolingo 2.1,2
年生,ねんせい,Student in ... year,Duolingo 2.1,1
大学,だいがく,University,Duolingo 2.1,1
高校,こうこう,High school,Duolingo 2.1,1
中学,ちゅうがく,Middle school,Duolingo 2.1,1
小学,しょうがく,Elementary school,Duolingo 2.1,1
留学生,りゅうがくせい,Foreign exchange student ,Duolingo 2.1,1
彼,かれ,He,Duolingo 2.1,1
彼女,かのじょ,Her,Duolingo 2.1,1
姉妹,しまい,Sisters ,Duolingo 2.1,1
両親,りょうしん,Parents,Duolingo 2.1,1
親戚,しんせき,Relatives,Duolingo 2.1,2
友達,ともだち,Friend,Duolingo 2.1,1
息子,むすこ,Son,Duolingo 2.1,1
娘,むすめ,Daughter,Duolingo 2.1,1
孫,まご,Grandchild,Duolingo 2.1,1
孫息子,まごむすこ,Grandson,Duolingo 2.1,1
孫娘,まごむすめ,Granddaughter,Duolingo 2.1,1
夫,おっと,My husband,Duolingo 2.1,1
妻,つま,My wife,Duolingo 2.1,1
ご主人,ごしゅじん,Your husband,Duolingo 2.1,1
奥さん,おくさん,Your wife,Duolingo 2.1,1
祖父,そふ,Grandfather,Duolingo 2.1,1
祖母,そぼ,Grandmother ,Duolingo 2.1,2
父親,ちちおや,Husband,Duolingo 2.1,1
