Kanji,Hiragana,English,Origin,Difficulty,Category
後で,あとで,"Later, afterwards",Genki 1.6,2,Adverb
結構です,けっこうです,"Sufficient, wonderful, ""I'm fine"", ""No thanks""",Genki 1.6,1,"Adverb, Adjective - な"
本当ですか,ほんとうですか,Really?,Genki 1.6,1,Phrase
家族,かぞく,Family,Genki 1.7,1,Noun - Relationship
父,ちち,My father,Genki 1.7,1,Noun - Relationship
母,はは,My mother,Genki 1.7,1,Noun - Relationship
兄,あに,My older brother,Genki 1.7,1,Noun - Relationship
お兄さん,おにいさん,Older brother,Genki 1.7,1,Noun - Relationship
姉,あね,My older sister,Genki 1.7,1,Noun - Relationship
お姉さん,おねえさん,Older sister,Genki 1.7,1,Noun - Relationship
弟,おとうと,My younger brother,Genki 1.7,1,Noun - Relationship
妹,いもうと,My younger sister,Genki 1.7,1,Noun - Relationship
兄弟,きょうだい,Siblings,Genki 1.7,1,Noun - Relationship
男の人,おとこのひと,Man,Genki 1.7,1,Noun - Living
女の人,おんなのひと,Woman,Genki 1.7,1,Noun - Living
会社,かいしゃ,"Office, company",Genki 1.7,1,Noun - Place
食堂,しょくどう,Cafeteria ,Genki 1.7,1,Noun - Place
髪,かみ,Hair,Genki 1.7,1,Noun - Object
目,め,Eye,Genki 1.7,1,Noun - Object
口,くち,Mouth,Genki 1.7,1,Noun - Object
別に,べつに,Nothing in particular,Genki 1.7,2,Adverb
眼鏡,めがね,Eyeglasses ,Genki 1.7,1,Noun - Object
車,くるま,Car,Genki 1.7,1,Noun - Object
歌,うた,Song,Genki 1.7,1,Noun - Object
長い,ながい,Long (length),Genki 1.7,1,Adjective - い
短い,みじかい,Short (length),Genki 1.7,2,Adjective - い
速い,はやい,Fast,Genki 1.7,1,Adjective - い
背が高い,せがたかい,Tall (stature),Genki 1.7,1,Adjective - い
背が低い,せがひくい,Short (stature),Genki 1.7,2,Adjective - い
頭がいい,あたまがいい,"Clever, bright",Genki 1.7,2,Adjective - いい
親切,しんせつ,"Kind, gentle, considerate",Genki 1.7,3,Adjective - な
便利,べんり,Convenient,Genki 1.7,2,Adjective - な
歌う,うたう,To sing,Genki 1.7,1,Verb - Godan
被る,かぶる,To put on (head),Genki 1.7,1,Verb - Godan
履く,はく,To put on (lower body),Genki 1.7,1,Verb - Godan
知る,しる,To get to know,Genki 1.7,1,Verb - Godan
住む,すむ,To live,Genki 1.7,1,Verb - Godan
働く,はたらく,To work,Genki 1.7,1,Verb - Godan
太る,ふとる,To gain weight,Genki 1.7,1,Verb - Ichidan
着る,きる,To put on (upper body),Genki 1.7,1,Verb - Ichidan
結婚する,けっこんする,To get married,Genki 1.7,3,Verb - suru
晴れ,はれ,"Clear, sunny",Genki 1.8,1,Adjective - な
曇り,くもち,Cloudy,Genki 1.8,1,Adjective - な
雨,あめ,Rain,Genki 1.8,1,Noun - Object
雪,ゆき,Snow,Genki 1.8,0,Noun - Object
気温,きおん,Temperature (weather),Genki 1.8,2,Noun - Concept
天気予報,てんきよほう,Weather forecast,Genki 1.8,2,Noun - Concept
夏,なつ,Summer,Genki 1.8,1,Noun - Season
冬,ふゆ,Winter,Genki 1.8,1,Noun - Season
今朝,けさ,This morning,Genki 1.8,1,Noun - Concept
